reu_id,UF,pop_FUNAI2008,poa,IdentStart_m,IdentStart_y,ApprEnd_m,ApprEnd_y
1,MT,72,,,,,
2,PA,,,,,,
3,AM,285,1997,,,,
4,MT,467,,,,,
5,AM,16,1997,,,,
6,PA,142,,,,,
7,AC,63,2001,10,2001,,
8,MT,122,,,,,
9,AC,103,,,,,
10,MT,300,,,,,
11,AM,49,1997,,,,
12,AM,23,1997,,,,
13,PA,,2001,6,2003,,
14,MA,1265,1998,10,2000,,
15,AM,112,1997,,,,
16,PA,63,,,,,
17,PA,,,,,,
18,AM,154,1997,,,,
19,RO,,,,,,
20,AM,30,1997,,,,
21,AM,572,1997,,,,
22,AM,72,,,,,
23,PA,,,,,,
24,PA,,,,,,
25,PA,,,,,,
26,AM,2515,,,,,
27,TO,,,,,,
28,MT,1000,,,,,
29,AM,,,,,,
30,PA,,,,,,
31,AC,,2001,11,2003,,
32,AM,11,2000,6,2004,,
33,MA,,2001,7,2003,,
34,AM,22,2001,12,2002,,
35,AM,27,2001,6,2003,,
36,PA,80,2003,8,2003,,
37,AM,141,2001,4,2003,,
38,PA,67,2003,8,2003,,
39,AM,38,2000,6,2004,,
40,AC,92,2003,11,2003,,
41,AC,46,2003,7,2004,,
42,AM,57,2004,6,2004,,
43,AM,,2003,8,2003,,
44,PA,190,1996,11,1999,,
45,MA,411,1998,11,2000,,
46,MT,,2003,7,2000,,
47,AM,77,1997,1,1997,,
48,MT,,2003,7,2000,,
49,PA,,2003,8,2003,,
50,MT,72,2003,11,2000,,
51,AC,114,,,,,
52,AM,197,2001,6,2003,,
53,AM,221,1997,1,1997,,
54,MT,,,,,,
55,PA,68,2004,7,2004,,
56,PA,87,2003,6,1998,,
57,AM,,2001,3,2003,,
58,AM,49,2000,5,2000,,
59,MT,150,2003,6,2001,,
60,MA,1.976,1997,8,2001,,
61,MT,250,2004,,,,
62,AM,226,1997,5,2003,,
63,AM,350,2000,9,2000,,
64,MT,498,2004,,,,
65,PA,297,2001,11,1993,,
66,AM,85,2001,6,2004,,
67,PA,47,1997,10,1999,,
68,AM,12,2001,3,2003,,
69,AM,97,1997,8,1997,,
70,AM/PA/RR,2805,1996,9,2000,,
71,AM,393,2001,3,2002,,
72,AC,105,2000,6,2003,,
73,AM,146,1997,6,1998,,
74,AM,100,1998,2,1999,,
75,AM,35,2001,6,2004,,
76,PA,178,1996,4,1997,,
77,AM,,2001,6,2004,,
78,AM,65,1997,1,1997,,
79,AM,15,1997,1,1997,,
80,AM,101,1997,12,1997,,
81,AM,58,2001,2,2002,,
82,AM,428,2000,8,2001,,
83,PA,52,2001,1,2002,,
84,RR,52,1998,3,2003,,
85,AM,80,1998,6,1998,,
86,AM,288,2000,11,2000,,
87,AM,141,1998,6,1998,,
88,AM,564,1997,11,1999,,
89,AM,224,1997,8,1997,4,2005
90,AM,65,1997,4,1998,10,2004
91,AM,103,1997,4,1998,10,2004
92,AM,58,1997,10,1997,,
93,AM,145,1996,6,1996,10,2004
94,PA,31,2000,3,2000,4,2005
95,PA,107,1997,10,1999,4,2006
96,AC,600,1998,5,1998,10,2004
97,RR,350,1997,9,1998,6,2003
98,TO,97,1996,10,1998,4,2006
99,PA,73,2003,6,1998,4,2006
100,AM,80,1997,2,1999,9,2005
101,AC,165,1997,2,1987,12,1998
102,AM,460,1996,9,1986,11,1997
103,AC,92,1996,5,1996,2,2003
104,AM,496,1996,11,1984,11,1997
105,AM,400,1996,5,1988,4,1998
106,AM,280,1998,12,1995,10,2004
107,AM,124,1997,5,1987,12,1998
108,AC,166,1996,3,1977,4,1998
109,AC,200,1997,1,2000,4,2005
110,AM,141,1996,,,4,1998
111,AM,44,1997,1,1997,10,2004
112,AM,247,1997,,,4,2001
113,AC,350,1997,3,1977,5,2001
114,AM,18.526,1996,3,1983,4,1998
115,AM,38,1997,1,1985,12,1998
116,AM,68,1996,5,1998,11,1997
117,AM,120,1996,8,1986,11,1997
118,AM,93,1996,9,1986,11,1997
119,AM,1.768,2000,10,1997,4,2004
120,AM,165,1996,10,1991,11,1997
121,AM,40,1996,9,1986,11,1997
122,AM,180,1997,6,1998,10,2004
123,AM,42,1998,3,1999,4,2004
124,AC,48,1998,5,2003,4,2001
125,AC,210,1998,2,1987,5,2001
126,AC,195,1996,11,1993,5,2001
127,AC,230,1997,2,1987,12,1998
128,AM,666,1998,3,1999,10,2004
129,AM,121,1996,5,1997,4,2005
130,AC,160,1997,2,1987,12,1998
131,AM,40,1996,9,1986,11,1997
132,AM,367,1998,12,1995,6,2003
133,AM,47,1998,10,1998,5,2003
134,PA,28,1996,4,1982,4,1998
135,RR,708,1997,3,1997,6,2003
136,RR,22,1997,4,1997,6,2003
137,RR,240,1996,5,1982,5,1998
138,RR,272,1997,11,1997,6,2003
139,RR,302,1997,3,1997,4,2005
140,AM,11,1996,11,1993,4,2004
141,AC,30,1999,11,1993,5,2001
142,AM,73,1996,6,1996,12,2001
143,RR,548,1997,3,1977,12,2001
144,AM,103,1996,5,1996,10,2004
145,"PA, AP",1.017,1996,9,1984,11,1997
146,AM,458,1996,6,1996,12,2001
147,AM,68,1998,10,1998,5,2003
148,AM,28,1996,6,1996,12,2001
149,AM,374,1996,5,1996,10,2004
150,AM,2.826,1996,12,1993,6,2000
151,AM,259,1996,,,4,1998
152,AM,207,1997,10,1995,5,2001
153,AC,19,1998,11,1993,4,2001
154,AM,979,1996,12,1993,8,2000
155,AM,17,1998,9,1999,10,2004
156,AM,75,1997,1,1997,5,2003
157,AM,66,1996,8,1986,11,1997
158,AM,105,1996,,,11,1997
159,AM,40,1996,,,4,2001
160,AM,53,1996,,,11,1997
161,AM,86,1996,11,1997,9,1998
162,AM,561,1996,5,1987,9,1998
163,AM,60,1997,,,9,1998
164,AM,52,1997,5,1988,12,1998
165,AM,309,1996,9,1986,11,1997
166,AM,118,1998,3,1999,4,2004
167,RR,283,1997,3,1997,6,2003
168,AM,52,1996,6,1996,12,2001
169,AM,22,1998,10,1998,5,2003
170,AM,160,1996,8,1986,9,2000
171,AM,62,1996,1,1997,4,2004
172,AM,395,1999,1,2000,10,2004
173,AM,4300,1996,7,1993,2,2001
174,AM,120,1996,9,1986,11,1997
175,AM,42,1998,3,1999,4,2004
176,AM,350,1997,10,1982,12,1998
177,AM,3.027,1996,3,1995,5,2001
178,PA,4.106,1997,11,1992,2,2004
179,PA,134,1996,,,11,1997
180,AM,400,1996,,,11,1997
181,,,2001,1,2002,,
