"terrai_nom","terrai_pro","status_ter","fase_descr","tipo_terra","terrai_fai","terrai_obs","CommunityArea_Ha","situa_desc","tipo_area_","terrai_per","terrai_pop","reu_id","Stage","stagenum","NDVI_1981","NDVI_1982","NDVI_1983","NDVI_1984","NDVI_1985","NDVI_1986","NDVI_1987","NDVI_1988","NDVI_1989","NDVI_1990","NDVI_1991","NDVI_1992","NDVI_1993","NDVI_1994","NDVI_1995","NDVI_1996","NDVI_1997","NDVI_1998","NDVI_1999","NDVI_2000","NDVI_2001","NDVI_2002","NDVI_2003","NDVI_2004","NDVI_2005","NDVI_2006","NDVI_2007","NDVI_2008","NDVI_2009","NDVI_2010","NDVI_2011","NDVI_2012","NDVI_2013","NDVI_2014","Entry_Year","Accepted_Year","State","NDVI_trend","PSM"
"0","Acapuri de Cima",".","Processo de Homologação","Declarada","Terra Indígena","N",NA,19885.0378,"Ativo","Principal","57.64093 Ha",NA,80,"demarcada",6,0.5648,0.394165604544731,0.282611424095483,0.274659670714957,0.259906761426005,0.330110911169816,0.226103314925247,0.204087031242238,0.16031812654746,0.234692841412835,0.273179873283839,0.178221984399939,0.20408351084803,0.284415007520684,0.321750140930594,0.252620120740302,0.308218232193685,0.351467191039024,0.292860200930895,0.423223867662921,0.365095725517279,0.232646794363025,0.223370741864035,0.176627086594425,0.109482296763479,0.0691393269460935,0.0580456113033466,0,0.119465079000643,0.220500137951674,0.256300456883771,0.411314216727903,0.460795764445033,0.464813250154812,2005,2012,1,-0.243049859069406,2010.60820597928
"1","Acimã",".","Concluído","Regularizada","Terra Indígena","N",NA,40686.034,"Ativo","Principal","110.11701 Ha",NA,131,"Registrada",8,0.6032,0.626539992746254,0.728368786310371,0.806046420315589,0.688470102615899,0.741319450967294,0.826113454211695,0.890101420287469,0.896016779755177,0.856273706897784,0.717739295499942,0.703323799039694,0.635021619007713,0.447121083212427,0.401342298444443,0.36474079777751,0.233209669858184,0.225255683412014,0.134525540073199,0.432574275309272,0.361853339011904,0.34363260102522,0.450503599132711,0.373628578393748,0.193877632816737,0.222991046927027,0.234897357375505,0.269449135634989,0.306954210898638,0.302087341877503,0.208122420379179,0.399729095262118,0.351373706664633,0.331700850734732,2004,2010,4,-0.201857701555557,2009.47524655006
"2","Alto Rio Negro",".","Concluído","Regularizada","Terra Indígena","N",NA,7999381.1683,"Ativo","Principal","1905.96063 Ha",NA,114,"Registrada",8,0.1295,0.0675731648066687,0.169099055117782,0.214634878185585,0.154341611172636,0.0332543782951328,0,0.100695658929543,0,0.00582873073694251,0.00855704332639942,0.0402031321218884,0.0200900994343999,0.179501670530949,0.00188519195998055,0,0.240506764554885,0.216593251864406,0.180790177443314,0.330155407971223,0.349496262761062,0.169652832072391,0.127610744735829,0.140331573679143,0.0594336356106665,0.163947576142057,0.400631605217204,0.35634988187854,0.347213369209531,0.40056368510274,0.385042794469479,0.271400436675265,0.290596264177829,0.317424426304501,2005,2013,3,-0.127614808040019,2010.98069577025
"3","Alto Sepatini",".","Concluído","Regularizada","Terra Indígena","N",NA,26095.6979,"Ativo","Principal","96.83977 Ha",NA,118,"Registrada",8,0.992,1,1,1,1,1,1,0.91877892522881,1,1,1,0.898985846109546,0.690805256972052,0.708048937686501,0.612879267907702,0.61810536147127,0.585614023279114,0.625844258267106,0.555980246476246,0.684865114501159,0.506324222463365,0.569014245799136,0.671913640530504,0.605239432244655,0.441142461923514,0.392482111897671,0.326904048390196,0.479354143364896,0.389180084444542,0.427721978246457,0.566950022024939,0.519971167387736,0.421406995783342,0.460223383749642,2005,2011,3,-0.379120732092298,2010.25602585008
"4","Alto Tarauacá",".","Concluído","Regularizada","Terra Indígena","N",NA,142619.1069,"Ativo","Principal","239.24560 Ha",NA,96,"homologada",7,0.9206,0.788090985710582,0.680495531167687,0.672324161916907,0.633074892776806,0.619679626003195,0.504297468040901,0.409289631900063,0.383750229044419,0.501147615051747,0.520724391144771,0.28493874237952,0.332470851549189,0.0454828072478703,0,0.0080055084643411,0.0187143899719818,0,0.0681985808203213,0.0235909121535383,0.0289676753294977,0.209259056412416,0.220333822526518,0.26586889884388,0.270481992855374,0.203339931352492,0.216498906553063,0.226689501213853,0.192792484855106,0.330778400162215,0.330276698371113,0.24920981502309,0.296403420637221,0.368752416802866,1998,2002,1,-0.9206,2002.87242909334
"5","Apipica",".","Concluído","Regularizada","Terra Indígena","N",NA,652.7562,"Ativo","Principal","21.82696 Ha",NA,147,"Registrada",8,0.3222,0.369055627914596,0.455196618796154,0.565732649620731,0.594123220693569,0.724559445882523,0.652981039579349,0.541720746080016,0.536107856126184,0.612391599941944,0.740817824365572,0.707876251591613,0.764748214688364,0.886691980760262,0.942164947987784,0.897205309809534,0.830307386089475,0.790806535144963,0.586570364885628,0.662189274454518,0.694212686889311,0.601577303560814,0.655899933135353,0.713781276366968,0.78660882673152,0.697849765072037,0.605717991437737,0.728035559756073,0.916218679166874,0.809528594325801,0.709560161339558,0.606977811753771,0.550651726076413,0.443835663896697,1999,2006,5,0.619964947987784,2003.7012490774
"6","Arara do Igarapé Humaitá",".","Processo de Homologação","Regularizada","Terra Indígena","N",NA,87571.6965,"Ativo","Principal","140.04790 Ha",NA,109,"Registrada",8,0.8234,0.860847881023232,0.696371268439082,0.887394529307323,0.843767651842894,0.950378222387453,0.949362339368867,1,1,1,0.744066563620597,0.775270274400631,0.812062578578631,0.825629745916404,0.724355217350809,0.715799402912441,0.637273894434655,0.572262001964868,0.380134467677621,0.412641602045346,0.262039098472988,0.2176577741868,0.269757336950442,0.224647751936801,0.23751809819483,0.242938316407865,0.22983862330787,0.13160953396408,0.219954163187914,0.233876119303284,0.368688147304065,0.433264261902677,0.493041175342612,0.477729538498842,2000,2009,2,-0.0990447826491906,2004.34257481269
"7","Arary",".","Processo de Homologação","Declarada","Terra Indígena","N",NA,40750,"Ativo","Principal","114.00000 Ha",NA,53,"identificada",3,0.2166,0.349470753128507,0.386211595846845,0.434001095277468,0.473259942498105,0.495060911327385,0.391552946518171,0.38422285965441,0.350096848590285,0.481511038873586,0.412471346072899,0.325860971779566,0.22981395356947,0.300251717995815,0.328920672194026,0.294380366570658,0.249815705899144,0.307406930360054,0.359623319455975,0.35195865485323,0.318725634331356,0.413384365648228,0.558621146080347,0.559117546791103,0.64841068206943,0.641641067608551,0.764091309059369,0.79111224059211,0.819790771040843,0.859843448136411,0.749018217542915,0.681496038878904,0.519078747571308,0.703060413957623,1996,2001,5,0.112320672194026,2000.87448002908
"8","Ariramba",".","Concluído","Regularizada","Terra Indígena","N",NA,142.2979,"Ativo","Principal","69.00000 Ha",NA,142,"Registrada",8,0.6258,0.718237435741374,0.675070012279078,0.616005665887359,0.526456839642684,0.474502667127324,0.580931007742649,0.555198799797382,0.436245216843372,0.53020340749836,0.46781830042829,0.553738175481185,0.47414863182634,0.54477640160105,0.757574956835176,0.618890097178639,0.49092643834317,0.309617447193444,0.382334430009654,0.176114025226309,0.443204527944902,0.330142493336496,0.463424899713945,0.459192705048566,0.471812703445739,0.36759633652527,0.316101273566344,0.231027816803077,0.326854698058191,0.24996926669092,0.321291696280848,0.301435933365289,0.283355545820863,0.163107699456852,2004,2011,1,0.131774956835176,2009.32926736005
"9","Bacurizinho",".","Concluído","Regularizada","Terra Indígena","N",NA,82432.4931,"Ativo","Principal","132.80800 Ha",NA,60,"delimitada",4,0.0694,0,0,0.0270154414559602,0.110443619032021,0.138741812486702,0.182100878202607,0,0.0743691238473344,0,0,0,0,0.223666342655865,0.224006350692736,0.412528444242388,0.438997204081161,0.49419547309786,0.472043258213584,0.44756042624602,0.45992346190406,0.487892864415027,0.571668999779891,0.527436235764406,0.383975775324465,0.341575023736104,0.317674139163345,0.445793088859754,0.525604777128462,0.645169102266829,0.563302012515301,0.600051361142509,0.52043973328286,0.642758818603368,2005,2009,2,0.154606350692736,2010.7420006731
